Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
Michael Wacha,33,KCR,AL,2.8,10,13,0.435,3.86,31,31,0,0,0,0,172.2,166,74,74,15,45,0,126,4,0,2,716,106.0,3.66,1.222,8.7,0.8,2.3,6.6,2.8,nan,wachami01
Seth Lugo,35,KCR,AL,1.7,8,7,0.533,4.15,26,26,0,0,0,0,145.1,133,70,67,27,55,1,125,6,0,5,611,99.0,5.09,1.294,8.2,1.7,3.4,7.7,2.27,nan,lugose01
Michael Lorenzen,33,KCR,AL,0.4,7,11,0.389,4.64,27,26,0,0,0,0,141.2,149,76,73,25,39,0,127,6,0,12,606,89.0,4.59,1.327,9.5,1.6,2.5,8.1,3.26,nan,lorenmi01
Noah Cameron*,25,KCR,AL,3.8,9,7,0.563,2.99,24,24,0,0,0,0,138.1,109,46,46,18,43,1,114,3,0,3,556,137.0,4.18,1.099,7.1,1.2,2.8,7.4,2.65,ROY-4,camerno01
Bailey Falter*,28,KCR,AL,-0.7,0,2,0.0,11.25,4,2,1,0,0,0,12.0,20,15,15,2,7,0,11,0,0,1,61,38.0,5.22,2.25,15.0,1.5,5.3,8.3,1.57,nan,falteba01
Kris Bubic*,27,KCR,AL,3.1,8,7,0.533,2.55,20,20,0,0,0,0,116.1,98,38,33,6,39,1,116,3,0,1,476,161.0,2.89,1.178,7.6,0.5,3.0,9.0,2.97,AS,bubickr01
Stephen Kolek,28,KCR,AL,1.1,1,2,0.333,1.91,5,5,0,0,0,0,33.0,20,9,7,1,5,0,21,0,0,0,125,217.0,2.71,0.758,5.5,0.3,1.4,5.7,4.2,nan,kolekst01
Ryan Bergert,25,KCR,AL,0.2,1,2,0.333,4.43,8,8,0,0,0,0,40.2,37,21,20,4,17,1,39,0,0,1,174,93.0,3.75,1.328,8.2,0.9,3.8,8.6,2.29,nan,bergery01
Daniel Lynch IV*,28,KCR,AL,1.3,6,2,0.75,3.06,57,2,8,0,0,1,67.2,66,24,23,8,26,1,45,6,0,1,289,135.0,4.76,1.36,8.8,1.1,3.5,6.0,1.73,nan,lynchda02
Carlos Estévez,32,KCR,AL,2.1,4,5,0.444,2.45,67,0,57,0,0,42,66.0,48,22,18,5,22,6,54,4,1,2,269,168.0,3.67,1.061,6.5,0.7,3.0,7.4,2.45,AS,estevca01
Ángel Zerpa*,25,KCR,AL,0.3,5,2,0.714,4.18,69,2,4,0,0,0,64.2,67,30,30,7,22,0,58,2,1,1,275,99.0,3.86,1.376,9.3,1.0,3.1,8.1,2.64,nan,zerpaan01
John Schreiber,31,KCR,AL,0.4,3,3,0.5,3.8,74,0,8,0,0,1,64.0,57,29,27,10,19,1,62,1,0,2,265,108.0,4.17,1.188,8.0,1.4,2.7,8.7,3.26,nan,schrejo01
Cole Ragans*,27,KCR,AL,0.2,3,3,0.5,4.67,13,13,0,0,0,0,61.2,53,33,32,7,20,0,98,2,0,3,257,88.0,2.5,1.184,7.7,1.0,2.9,14.3,4.9,nan,raganco01
Lucas Erceg,30,KCR,AL,1.5,8,4,0.667,2.64,61,0,10,0,0,2,61.1,54,19,18,4,18,3,48,4,0,3,249,156.0,3.49,1.174,7.9,0.6,2.6,7.0,2.67,nan,erceglu01
Taylor Clarke,32,KCR,AL,1.0,1,1,0.5,3.25,51,0,15,0,0,1,55.1,38,20,20,8,9,0,44,1,0,5,206,127.0,3.97,0.849,6.2,1.3,1.5,7.2,4.89,nan,clarkta01
Steven Cruz,26,KCR,AL,0.4,3,1,0.75,3.74,47,0,9,0,0,0,45.2,36,20,19,5,18,1,38,1,0,1,189,110.0,4.14,1.182,7.1,1.0,3.5,7.5,2.11,nan,cruzst01
Jonathan Bowlan,28,KCR,AL,0.2,1,2,0.333,3.86,34,1,7,0,0,0,44.1,37,21,19,6,17,0,46,0,0,1,180,107.0,3.97,1.218,7.5,1.2,3.5,9.3,2.71,nan,bowlajo01
Sam Long*,29,KCR,AL,-0.7,2,3,0.4,5.36,39,0,19,0,0,0,40.1,48,31,24,7,22,1,33,2,0,5,189,77.0,5.54,1.736,10.7,1.6,4.9,7.4,1.5,nan,longsa01
Thomas Hatch,30,KCR,AL,-0.1,0,0,,18.0,1,0,1,0,0,0,1.0,2,2,2,1,0,0,1,0,0,0,5,31.0,14.14,2.0,18.0,9.0,0.0,9.0,,nan,hatchto01
Chris Stratton,34,KCR,AL,-0.4,0,0,,7.94,12,0,7,0,0,0,17.0,29,17,15,2,8,0,16,0,0,0,87,53.0,4.19,2.176,15.4,1.1,4.2,8.5,2.0,nan,stratch01
Evan Sisk*,28,KCR,AL,0.1,0,0,,1.69,5,0,1,0,0,0,5.1,5,1,1,0,5,0,11,0,1,1,26,260.0,1.82,1.875,8.4,0.0,8.4,18.6,2.2,nan,siskev01
Luinder Avila,23,KCR,AL,0.4,1,1,0.5,1.29,13,0,9,0,0,0,14.0,7,2,2,0,6,0,16,0,0,0,56,327.0,2.14,0.929,4.5,0.0,3.9,10.3,2.67,nan,avilalu02
Andrew Hoffmann,25,KCR,AL,-0.2,0,0,,3.86,3,0,2,0,0,0,4.2,7,6,2,1,4,0,5,0,0,1,26,115.0,6.35,2.357,13.5,1.9,7.7,9.6,1.25,nan,hoffman01
Hunter Harvey,30,KCR,AL,0.7,1,0,1.0,0.0,12,0,1,0,0,0,10.2,6,0,0,0,1,0,11,0,0,0,39,,1.35,0.656,5.1,0.0,0.8,9.3,11.0,nan,harvehu01
Rich Hill*,45,KCR,AL,-0.1,0,2,0.0,5.0,2,2,0,0,0,0,9.0,9,7,5,2,8,0,4,0,0,0,43,85.0,7.8,1.889,9.0,2.0,8.0,4.0,0.5,nan,hillri01
Trevor Richards,32,KCR,AL,-0.1,0,0,,12.0,3,0,2,0,0,0,3.0,7,4,4,0,2,0,2,0,0,3,18,38.0,3.8,3.0,21.0,0.0,6.0,6.0,1.0,nan,richatr01
Luke Maile,34,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,6.14,1.0,0.0,0.0,9.0,0.0,0.0,nan,mailelu01
