Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_quality_start,p_run_support,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Seth Lugo,34,KCR,AL,5.4,16,9,0.64,3.0,33,33,0,1,0,0,206.2,177,75,69,16,48,1,181,9,0,4,836,137.0,3.25,1.089,7.7,0.7,2.1,7.9,3.77,ASCYA-2MVP-15GG,lugose01,607625.0,2023.0,33.0,38.6,121.7,503.6,460.8,109.8,71.2,21.0,2.2,15.4,114.0,35.2,23.8,7.4,0.2384,0.396,0.2998,0.6958,0.1576,0.2868,47.6,50.2,0.8,1.4,365.8,7.8,5.6,2.8,0.0,0.0,3.564,,,3.4,10.2,62.6,0.2454,0.4222,0.302,0.3164,0.3074,0.1766,71.9333333333,24.7,17.2,13.7333333333,36.8333333333,29.3666666667,7.3,16.3333333333,10.8666666667,-2.03333333333,53.0,32.8666666667,89.52,11.08,33.98,9.04,39.94,79.009995852,94.2720259138,23.88,45.32
Cole Ragans*,26,KCR,AL,5.0,11,9,0.55,3.14,32,32,0,1,0,0,186.1,146,71,65,15,67,1,223,6,0,11,762,131.0,2.99,1.143,7.1,0.7,3.2,10.8,3.33,ASCYA-4,raganco01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Singer,27,KCR,AL,3.1,9,13,0.409,3.71,32,32,0,0,0,0,179.2,175,77,74,22,54,0,170,10,0,2,762,111.0,3.93,1.275,8.8,1.1,2.7,8.5,3.15,nan,singebr01,663903.0,2023.0,26.0,29.4,157.76,677.4,609.2,158.6,105.6,30.8,3.6,18.6,149.4,50.2,22.12,7.42,0.261,0.4136,0.3258,0.7394,0.1526,0.3148,74.6,79.6,0.0,0.0,474.4,9.2,10.2,2.8,0.4,0.0,4.28,,,8.0,12.2,84.8,0.2554,0.4214,0.3226,0.3264,0.3228,0.1658,72.1333333333,26.0666666667,17.0666666667,13.1666666667,36.4,28.0666666667,7.4,18.6666666667,10.9,-2.56666666667,48.0666666667,33.8,89.6,9.54,34.52,7.8,41.9,78.6366982122,94.51029816,24.02,44.54
Michael Wacha,32,KCR,AL,3.4,13,8,0.619,3.35,29,29,0,0,0,0,166.2,154,65,62,17,45,1,145,5,0,3,685,123.0,3.65,1.194,8.3,0.9,2.4,7.8,3.22,nan,wachami01,608379.0,2023.0,31.0,27.2,144.76,599.4,550.4,135.2,87.0,27.4,3.2,17.6,124.0,39.0,20.86,6.52,0.245,0.4054,0.298,0.7034,0.1604,0.2844,60.2,62.0,0.0,0.0,435.4,10.2,6.4,3.4,0.2,0.2,3.76,,,3.8,10.2,81.0,0.2564,0.4448,0.305,0.327,0.3098,0.1886,71.3,21.7666666667,13.3333333333,10.4,32.4,25.2333333333,7.4,15.3333333333,12.4666666667,-5.36666666667,47.4333333333,32.7,88.12,15.6,36.64,8.6,36.2,76.8843845436,93.7893976504,22.58,50.18
Michael Lorenzen,32,KCR,AL,1.2,2,0,1.0,1.57,7,6,0,0,0,0,28.2,19,6,5,2,12,0,22,1,0,0,117,265.0,3.9,1.081,6.0,0.6,3.8,6.9,1.83,nan,lorenmi01,547179.0,2023.0,31.0,25.4,110.1,460.2,412.4,99.0,63.0,19.8,1.2,15.0,88.2,40.6,18.88,9.36,0.2384,0.3898,0.3154,0.7052,0.1514,0.2696,51.2,53.4,1.0,0.0,331.0,6.4,6.8,5.4,0.2,0.2,4.392,,,4.0,7.4,55.8,0.246,0.4092,0.31,0.3212,0.3226,0.1636,71.5666666667,22.6333333333,13.3333333333,10.4666666667,34.4,27.0,7.36666666667,12.0,11.1666666667,-2.8,50.2,32.5,88.88,12.72,32.82,7.0,39.72,78.0648140532,94.0455922218,23.98,47.56
Alec Marsh,26,KCR,AL,0.8,9,9,0.5,4.53,26,25,1,0,0,0,129.0,123,70,65,19,39,1,123,11,1,3,548,91.0,4.34,1.256,8.6,1.3,2.7,8.6,3.15,nan,marshal01,679525.0,2023.5,25.5,21.5,101.55,445.0,391.5,100.0,56.0,22.5,4.0,17.5,104.0,39.0,23.65,9.25,0.2575,0.479,0.3425,0.8215,0.2215,0.307,56.0,60.0,0.0,0.0,305.0,6.0,9.0,2.0,0.5,0.0,5.11,,,10.0,3.0,54.0,0.258,0.478,0.353,0.356,0.344,0.2205,71.75,25.75,15.25,11.5,35.35,26.75,7.4,16.5,11.4,-2.65,52.0,32.5,89.7,14.6,39.2,9.6,41.35,79.0009880515,94.4853871775,26.55,46.55
Lucas Erceg,29,KCR,AL,0.8,0,3,0.0,2.88,23,0,12,0,0,11,25.0,18,9,8,0,3,0,31,1,1,1,97,144.0,1.17,0.84,6.5,0.0,1.1,11.2,10.33,nan,erceglu01,668674.0,2024.0,29.0,57.3333333333,59.1,251.0,222.0,51.3333333333,35.3333333333,12.3333333333,1.0,2.66666666667,62.6666666667,23.3333333333,24.9666666667,9.26666666667,0.231666666667,0.332666666667,0.319,0.651666666667,0.101,0.312666666667,23.3333333333,26.0,5.33333333333,4.0,178.0,4.66666666667,4.66666666667,4.33333333333,0.333333333333,0.0,3.58333333333,,,1.0,0.0,29.3333333333,0.224333333333,0.345,0.29,0.294666666667,0.313333333333,0.121333333333,71.1,21.0,11.4666666667,8.6,29.5666666667,22.0666666667,7.2,6.66666666667,8.4,0.833333333333,42.1333333333,33.1666666667,87.0,7.56666666667,31.1,6.66666666667,34.6666666667,75.3919570797,93.3295677343,28.0333333333,45.9333333333
Chris Stratton,33,KCR,AL,-0.7,4,3,0.571,5.55,57,0,21,0,0,4,58.1,53,38,36,5,33,1,44,3,0,1,257,74.0,4.62,1.474,8.2,0.8,5.1,6.8,1.33,nan,stratch01,608717.0,2023.0,32.0,52.8,60.7,263.0,231.4,59.2,40.0,11.6,1.6,6.0,58.6,25.2,21.86,9.72,0.2694,0.4226,0.3404,0.763,0.1532,0.3252,30.4,33.0,3.0,3.0,182.8,4.6,1.8,2.6,0.0,0.0,5.014,,,2.8,0.0,31.2,0.2426,0.411,0.3298,0.3214,0.3208,0.1684,71.6333333333,22.0666666667,15.8,12.2333333333,35.6333333333,27.6666666667,7.33333333333,4.0,9.23333333333,-0.166666666667,54.5666666667,32.2666666667,88.56,12.8,34.58,7.82,38.22,77.6997261084,93.8535363124,24.94,46.24
James McArthur,27,KCR,AL,-0.5,5,7,0.417,4.92,57,0,38,0,0,18,56.2,68,36,31,8,14,2,49,3,0,1,247,84.0,4.17,1.447,10.8,1.3,2.2,7.8,3.5,nan,mcartja01,663704.0,2023.5,26.5,37.5,39.65,168.0,156.5,44.0,29.5,8.5,1.0,5.0,36.0,7.5,22.75,3.75,0.2665,0.434,0.2995,0.7335,0.1675,0.3195,21.5,24.0,11.0,3.5,120.0,3.0,3.5,1.0,0.0,0.0,4.775,,,1.5,0.0,14.0,0.2475,0.3835,0.312,0.2975,0.286,0.136,71.7,24.95,16.75,12.7,36.75,27.8,7.5,8.0,12.45,-5.05,56.45,33.2,89.65,5.25,31.2,6.5,42.05,78.4952881285,94.6805519595,26.55,47.25
Ángel Zerpa*,24,KCR,AL,0.6,2,0,1.0,3.86,60,0,3,0,0,0,53.2,59,24,23,6,19,2,49,2,0,3,239,107.0,3.97,1.453,9.9,1.0,3.2,8.2,2.58,nan,zerpaan01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Schreiber,30,KCR,AL,0.5,4,3,0.571,3.66,59,0,5,0,0,2,51.2,48,23,21,1,20,1,46,4,0,1,224,113.0,3.03,1.316,8.4,0.2,3.5,8.0,2.3,nan,schrejo01,670167.0,2023.0,29.0,48.8,45.88,192.6,171.6,39.0,24.8,9.2,1.0,4.0,48.0,16.8,27.44,8.7,0.2482,0.3886,0.3214,0.71,0.1404,0.3444,17.0,18.8,2.4,2.4,138.2,2.6,2.2,1.6,0.0,0.0,3.308,,,0.4,0.0,24.2,0.2346,0.346,0.3106,0.2948,0.3114,0.1116,71.2,19.6333333333,13.6666666667,10.9666666667,31.3333333333,25.1,7.13333333333,5.66666666667,7.7,1.26666666667,47.0,33.1333333333,88.42,11.6,32.2,4.96,42.22,77.0262144396,94.3908908966,25.22,45.68
Hunter Harvey,29,KCR,AL,-0.2,0,0,,6.35,6,0,1,0,0,1,5.2,8,4,4,1,4,1,5,1,0,0,29,69.0,6.34,2.118,12.7,1.6,6.4,7.9,1.25,nan,harvehu01,640451.0,2023.0,28.0,33.0,33.58,137.2,125.2,28.4,17.8,7.0,0.8,2.8,36.8,9.0,25.44,6.26,0.2192,0.344,0.2706,0.6146,0.1248,0.2806,11.8,13.0,2.2,1.8,102.0,1.8,1.8,1.2,0.2,0.0,2.786,,,4.8,0.0,19.8,0.228,0.357,0.2666,0.28,0.2806,0.1294,71.3,21.0333333333,12.5,9.26666666667,33.4666666667,24.8,7.2,5.66666666667,8.66666666667,2.16666666667,48.9333333333,31.3666666667,90.66,11.3,31.26,6.0,42.98,81.2388010312,94.539914853,24.66,50.3
Daniel Lynch IV*,27,KCR,AL,0.9,2,0,1.0,3.32,16,3,3,0,0,1,43.1,29,17,16,6,14,0,39,4,0,0,174,124.0,4.41,0.992,6.0,1.2,2.9,8.1,2.79,nan,lynchda02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Long*,28,KCR,AL,0.7,3,3,0.5,3.16,43,0,5,0,0,1,42.2,34,17,15,5,17,1,44,1,1,3,176,131.0,3.89,1.195,7.2,1.1,3.6,9.3,2.59,nan,longsa01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Smith*,34,KCR,AL,-0.9,0,4,0.0,6.53,45,0,13,0,0,1,41.1,45,31,30,7,15,2,29,3,0,0,186,63.0,5.27,1.452,9.8,1.5,3.3,6.3,1.93,nan,smithwi04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Anderson,33,KCR,AL,0.3,3,1,0.75,4.04,37,0,19,0,0,1,35.2,35,17,16,6,15,1,29,1,0,1,153,103.0,5.07,1.402,8.8,1.5,3.8,7.3,1.93,nan,anderni01,623433.0,2023.25,32.25,22.5,22.625,95.0,86.5,21.5,12.0,6.0,0.0,3.5,19.0,7.25,16.2,7.325,0.2415,0.456,0.29575,0.75175,0.2145,0.24575,10.25,11.0,0.75,0.5,68.75,1.75,0.5,0.5,0.0,0.0,4.435,,,1.0,0.0,11.75,0.288,0.55925,0.319,0.37725,0.33775,0.27125,70.45,17.45,9.85,7.75,32.0,25.15,7.15,1.0,10.0,-0.6,48.85,31.75,89.025,18.8,38.15,12.2,38.3,78.5576876378,93.9348443298,22.175,49.475
Kris Bubic*,26,KCR,AL,0.8,1,1,0.5,2.67,27,0,7,0,0,1,30.1,26,12,9,2,5,3,39,0,0,1,121,155.0,1.95,1.022,7.7,0.6,1.5,11.6,7.8,nan,bubickr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Hernández,27,KCR,AL,0.2,0,1,0.0,3.3,27,0,10,0,0,0,30.0,24,14,11,1,16,0,27,1,0,1,129,126.0,3.5,1.333,7.2,0.3,4.8,8.1,1.69,nan,hernaca04,672578.0,2023.0,26.0,37.2,56.86,251.4,217.8,55.4,37.0,11.6,1.0,5.8,50.4,28.4,19.92,11.4,0.2552,0.3926,0.3422,0.7348,0.1374,0.302,32.6,34.6,0.8,1.6,171.0,1.6,3.6,4.2,0.6,0.0,5.174,,,5.0,1.0,22.8,0.247,0.4302,0.3226,0.3348,0.3372,0.1832,71.0,19.9,11.7666666667,8.7,31.8333333333,23.5,7.26666666667,7.33333333333,10.4,-2.03333333333,53.5666666667,31.0333333333,89.4,17.86,34.58,9.16,39.88,79.1743189898,94.0351068554,26.4,49.22
Walter Pennington*,26,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,,0.17,0.0,0.0,0.0,0.0,13.5,,nan,penniwa01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Sauer,25,KCR,AL,-0.2,0,0,,7.71,14,0,8,0,0,0,16.1,23,14,14,3,11,0,9,1,0,1,84,54.0,6.66,2.082,12.7,1.7,6.1,5.0,0.82,nan,sauerma01,669422.0,2024.5,25.5,12.0,22.65,106.5,94.0,29.0,18.5,5.0,1.0,4.5,16.5,9.5,14.65,9.65,0.3115,0.528,0.383,0.911,0.2165,0.3295,17.5,18.5,0.5,0.0,69.0,1.0,0.5,1.0,0.0,0.0,7.04,,,0.0,0.0,25.0,0.269,0.4725,0.389,0.3535,0.348,0.204,71.4,23.5,10.4,8.65,30.95,25.9,7.2,3.0,10.3,-3.1,53.5,31.4,90.25,16.65,36.65,8.95,39.85,81.2219555985,93.910160568,17.55,49.4
Anthony Veneziano*,26,KCR,AL,0.0,0,0,,4.5,2,0,1,0,0,0,2.0,4,2,1,0,1,0,2,0,0,0,11,108.0,2.67,2.5,18.0,0.0,4.5,9.0,2.0,nan,venezan01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Duffey,33,KCR,AL,0.0,1,0,1.0,5.0,9,0,0,0,0,0,9.0,7,5,5,0,8,0,10,1,0,0,42,85.0,3.94,1.667,7.0,0.0,8.0,10.0,1.25,nan,duffety01,608648.0,2022.5,31.5,28.5,29.275,122.0,107.25,25.25,16.75,5.0,0.25,3.25,28.25,12.75,27.95,9.525,0.2115,0.41625,0.2905,0.70675,0.20475,0.22125,13.0,13.75,1.25,1.25,88.0,1.5,1.75,1.75,0.0,0.0,4.3975,,,0.25,0.0,9.0,0.2175,0.44275,0.30775,0.3265,0.29925,0.22575,70.75,15.7,12.9,10.65,29.3,24.25,7.3,1.5,10.5,-4.2,71.95,31.6,90.375,21.85,38.25,13.0,41.425,80.6748142885,94.5973387537,23.475,43.3
Will Klein,24,KCR,AL,-0.1,1,0,1.0,6.35,5,0,2,0,0,0,5.2,10,4,4,0,2,0,6,0,0,0,27,69.0,2.11,2.118,15.9,0.0,3.2,9.5,3.0,nan,kleinwi01,694361.0,2024.5,24.5,11.0,11.1,54.0,44.0,13.0,9.0,4.0,0.0,0.0,14.0,8.0,24.2,15.05,0.3165,0.416,0.4225,0.8385,0.0995,0.429,6.5,7.5,0.0,0.0,34.0,1.0,0.5,0.5,0.0,0.0,6.7,,,1.0,0.0,3.5,0.2905,0.4305,0.3715,0.3685,0.403,0.14,70.3,18.1,18.1,14.85,30.3,24.85,6.8,2.0,6.75,5.15,46.8,30.9,90.2,7.1,40.25,6.7,41.6,77.874401389,95.636363264,24.05,39.8
Colin Selby,26,KCR,AL,-0.1,0,0,,6.0,2,0,1,0,0,0,3.0,2,3,2,0,2,0,0,0,0,1,13,77.0,5.17,1.333,6.0,0.0,6.0,0.0,0.0,nan,selbyco01,681882.0,2024.0,26.0,12.3333333333,15.0,67.3333333333,59.6666666667,16.0,12.3333333333,1.66666666667,0.0,2.0,16.3333333333,7.0,22.5,10.2666666667,0.234,0.333333333333,0.325,0.658333333333,0.0993333333333,0.297,10.3333333333,10.6666666667,0.0,1.0,45.0,0.666666666667,1.33333333333,1.33333333333,0.0,0.0,4.92666666667,,,1.0,0.0,10.0,0.229666666667,0.373333333333,0.298666666667,0.311666666667,0.319,0.143666666667,71.6666666667,25.5666666667,18.4333333333,14.2666666667,36.8,28.1666666667,7.33333333333,3.0,9.96666666667,-1.9,61.5666666667,32.6333333333,89.6666666667,5.5,25.0,7.9,45.4666666667,78.6413399863,94.5875254243,26.2333333333,43.8666666667
Steven Cruz,25,KCR,AL,0.2,0,0,,0.0,5,0,3,0,0,0,5.2,1,0,0,0,0,0,4,0,0,1,18,,1.75,0.176,1.6,0.0,0.0,6.4,,nan,cruzst01,674444.0,2024.0,25.0,20.6666666667,20.8666666667,89.6666666667,79.0,16.0,10.0,3.66666666667,0.333333333333,2.0,19.0,9.66666666667,22.1666666667,9.06666666667,0.163,0.266333333333,0.239333333333,0.505666666667,0.103333333333,0.203,8.66666666667,9.0,0.0,0.0,64.0,1.0,0.333333333333,1.0,0.0,0.0,2.90333333333,,,0.333333333333,0.0,14.3333333333,0.194333333333,0.322333333333,0.224333333333,0.264333333333,0.272,0.128,70.8333333333,17.4666666667,10.3,8.06666666667,34.4,27.1,7.06666666667,3.33333333333,7.1,3.5,44.4,32.6666666667,90.6,14.9666666667,31.5666666667,4.63333333333,41.3666666667,81.7726280287,94.163670194,24.1,48.1
Jordan Lyles,33,KCR,AL,0.2,0,0,,0.0,5,0,3,0,0,0,5.0,2,0,0,0,2,0,3,0,0,0,19,,3.17,0.8,3.6,0.0,3.6,5.4,1.5,nan,lylesjo01,543475.0,2022.5,31.5,25.0,135.3,577.5,528.25,142.0,82.25,32.5,1.5,25.75,103.25,38.75,17.35,7.625,0.23175,0.42225,0.2955,0.71775,0.1905,0.253,78.75,82.0,0.0,0.0,406.25,7.0,10.25,6.0,0.0,0.0,3.9625,,,9.0,7.5,78.75,0.25425,0.4685,0.31,0.33875,0.3165,0.2145,71.95,22.75,16.7,13.2,37.3,29.45,7.4,4.5,13.3,-4.4,65.15,29.95,90.15,16.675,33.45,10.925,45.05,79.869422931,94.7178704218,23.6,48.85
Dan Altavilla,31,KCR,AL,-0.3,0,1,0.0,14.73,5,1,0,0,0,0,3.2,5,6,6,1,3,0,5,1,0,0,21,31.0,7.26,2.182,12.3,2.5,7.4,12.3,1.67,nan,altavda01,656186.0,2023.33333333,30.3333333333,11.6666666667,11.1,48.6666666667,40.3333333333,8.33333333333,4.33333333333,2.0,0.0,2.0,9.33333333333,6.0,27.1,8.93333333333,0.234333333333,0.574333333333,0.323,0.897333333333,0.34,0.2,5.0,5.33333333333,0.666666666667,0.333333333333,34.0,0.0,0.666666666667,0.333333333333,0.0,0.0,7.98666666667,,,0.666666666667,0.0,3.33333333333,0.239666666667,0.565,0.381666666667,0.387,0.331666666667,0.325666666667,72.4,26.65,16.05,11.7,34.15,25.15,7.3,1.5,10.8,2.05,64.0,30.8,88.5666666667,17.7,29.7666666667,17.0666666667,33.6666666667,77.5791909403,94.9474751903,20.4666666667,47.9
Jonathan Bowlan,27,KCR,AL,-0.2,0,1,0.0,13.5,1,1,0,0,0,0,2.2,6,4,4,3,3,0,3,0,0,0,17,35.0,18.92,3.375,20.3,10.1,10.1,10.1,1.0,nan,bowlajo01,680742.0,2024.0,27.0,12.3333333333,16.4333333333,70.3333333333,63.0,16.0,9.66666666667,3.0,0.0,3.33333333333,17.3333333333,6.66666666667,21.5333333333,9.0,0.338666666667,0.68,0.396,1.076,0.341333333333,0.352333333333,8.0,8.66666666667,0.0,0.0,50.0,0.333333333333,1.33333333333,0.333333333333,0.0,0.0,6.78666666667,,,1.0,0.0,7.0,0.264333333333,0.463,0.446333333333,0.345,0.331666666667,0.199,71.4,17.0333333333,15.2,10.3,30.8666666667,21.1,7.26666666667,3.33333333333,8.83333333333,0.633333333333,55.2,32.2666666667,85.5666666667,15.3666666667,38.1333333333,9.2,30.4666666667,74.1357376053,93.0193688383,31.7666666667,51.3666666667
Garrett Hampson,29,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,4,,6.17,0.0,0.0,0.0,0.0,0.0,,nan,hampsga01,641658.0,2024.0,29.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.103,0.178,0.18,0.268,0.327,0.076,75.5,40.0,20.0,20.0,20.0,20.0,7.3,0.0,13.2,-8.0,80.0,22.6,86.4,46.6,33.3,0.0,0.0,82.211055,90.232356667,0.0,38.5
Nick Loftin,25,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,,3.17,1.0,9.0,0.0,0.0,0.0,,nan,loftini01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pratto*,25,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,1,4,,1.17,1.0,9.0,0.0,0.0,9.0,,nan,prattni01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
